id,gender,age,dynamometer(kg),strength level,left-light,mid-light,right-light,size,length,width,hand-size
1,male,24,29.8,weak,255.8271,345.1553571,282.11,152.88,18.2,8.4,152.88
3,male,28,49.45,normal,707.5625,444.1322608,132.3515784,164.43,18.9,8.7,164.43
4,female,31,14.5,weak,378.2484,418.4519,321.5447761,122.5,17.5,7,122.5
5,male,35,30.8,weak,299.69645,174.567718,184.069,140.8,17.6,8,140.8
6,female,23,21.3,weak,436.8472,89.388895,118.972,161.5,19,8.5,161.5
7,female,24,32.35,normal,549,312.767442,87.3165,148,18.5,8,148
8,male,34,34.9,weak,323.33295,520.10975,234.99475,152.28,18.8,8.1,152.28
9,female,25,19.35,weak,527.0541,197.9428645,267.8939,127.28,17.2,7.4,127.28
10,female,30,25.55,normal,560.0002,232.444444,142.7777778,149.85,18.5,8.1,149.85
11,female,26,26.7,normal,595.2205,190.45,131.2563,141.04,17.2,8.2,141.04
12,male,30,42.3,normal,514.53125,383.8632722,228.1268722,175.5,19.5,9,175.5
14,female,27,29.55,normal,681.809524,362.5652,97.5297175,136,17,8,136
15,male,27,39.65,normal,580.93245,296.0832055,139.951496,153.72,18.3,8.4,153.72
16,male,29,47.85,normal,678.7619,195.1605,72.387385,164.05,19.3,8.5,164.05
17,male,27,38.1,normal,542.407143,285.6945355,100.934524,153.34,18.7,8.2,153.34
18,female,30,22.85,normal,636.1159109,195.229651,116.312,116.07,15.9,7.3,116.07
19,female,25,24.95,weak,651.275,86.894139,113.8950348,120.84,15.9,7.6,120.84
20,female,32,20.4,weak,583.034579,468.915216,182.4,116.64,16.2,7.2,116.64
21,male,27,41.75,normal,627.1159545,231.1407116,116.2325189,155.55,18.3,8.5,155.55
23,male,26,43.05,normal,657.6728335,442.571,202.0815,164.9,19.4,8.5,164.9
24,female,31,20,weak,479.91885,293.907055,209.375,135.2,16.9,8,135.2
25,male,31,36.6,normal,481.858074,450.0394,84.384835,154.56,18.4,8.4,154.56
26,female,27,28.15,normal,601.82,117.84,106.3,147,17.5,8.4,147
27,male,35,45.5,normal,711.015,350.5593333,213.0766667,173.55,19.5,8.9,173.55
